Date,Time,Location,Operator,Flight No,Route,AC Type,Registration,CN / LM,Aboard,Fatalities,Ground,Summary,Latitude,Longitude
"April 13, 1954",?,"Xieng Kouang, Laos",Societe Indochinoise de Raviteillement,?,?,Lockheed 18 Lodestar,F-OALK,2603,23,16,0,Crashed and burned during takeoff.,19.6093003,103.7289167
"April 13, 1982",14:40,"Near Erzurum, Turkey",Military - U.S. Air Force,?,Erzurum - Incirlik,Lockheed C-130H,74-1678,4645,27,27,0,Failure of the No.4 engine followed by separation of the engine and propeller of the No.3 engine.  Overpressurization of the right wing resulting in an explosion and in-flight fire. A Mayday was received from the aircraft before it fell and crashed into mountainous terrain and burst into flames. Attachment bolts to support the No. 4 engine had not been installed.,39.9054993,41.2658236
"April 13, 1985",19:40,"Athens, Louisiana",Air Taxi - Eidoarie Inc.,?,"El Dorado, AR - Houston, TX",Cessna 320B,N3RU,320B0023,4,4,0,Crashed on a dark night while en route to Shreveport. Reason for occurrence unknown. Possible loss of DC power causing the pilot to lose control of the aircraft during a dark night and turbulent instrument flight.,32.65042810000001,-93.025717
"April 13, 1987",21:55,"Kansas City, Kansas",Burlington Air Express,?,Wichita - Kansas City,Boeing 707-351C,N144SP,19209/510,4,4,0,The cargo plane flew into the ground short of the runway despite warnings from the controller. Improper IFR procedure. Disregarded decision height. Disregarded warnings.,39.114053,-94.6274636
"April 13, 2010",23:15,"Monterey, Mexico",Airborne Freight Company Union,302,Mexico City - Monterey - Los Angeles,Airbus A300B4-203F,XA-TUE,078,5,5,2,"The cargo plane was making a stop at Monterey on its way to Los Angeles when it crashed 1.5 km from the airport, while making a final approach to General Mariano Escobedo International Airport. The aircraft was cleared to land on Runway 11, when the crew decided to abort the landing. The plane then crashed onto Avenida Miguel Aleman roadway, striking a car and killing the driver. The plane then broke apart and burst into flames.",25.6866142,-100.3161126
"April 13, 2013",15:35,"Denpasar, Indonesia",Lion Air,904,Bandung - Denpasar,Boeing B-737-8GP,PK-LKS,38728/4350,108,0,0,"The airliner came down in the ocean, 150 feet short of the runway, while on final approach to Denpasar-Ngurah Rai Bali International Airport. All 101 passengers and crew of 7 survived. Forty-five people were injured.",-8.670458199999999,115.2126293
"April 13, 2016",1420,"Kiunga, Papua New Guinea",Sunbird Aviation,?,Oksapmin - Kiungaraining,Britten-Norman Islander,P2-SBC,3010,12,12,0,"While on approach, the plane stalled and crased in a wooded area 1 km short of the runway. The accident took place in stormy weather.Three survived, but later died of their injuries. Possible engine failure.",-6.1202907,141.2998457
"April 14, 1931",?,"Near Letschen, Germany",Deutsche Lufthansa,?,?,Messerschmitt M-20,D-1928,442,10,2,0,Fuselage failure. Four were seriously injured and both the pilot and radio operator were killed.
"April 14, 1945",16:58,"Morgantown, West Virginia",Pennsylvania Central Airlines,142,Pittsburgh - Morgantown,Douglas DC-3,NC25692,2262,20,20,0,"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude.",39.629526,-79.95589679999999
"April 14, 1953",02:22,"Selleck, Washington",Miami Airlines,?,Spokane - Ellenburgh,Douglas DC-3 (C-47-DL),N65743,20432,25,7,0,"The aircraft crashed into Cedar Mountain following double engine failure. The progressive failure of both engines, due to the lack of compliance with proper maintenance standards. Spark plugs in both engines had been operated beyond their normal maintenance inspection period and exhibited evidence of a condition conducive to detonation and preignition. There was evidence that detonation and preignition took place in both engines and that  they ultimately failed as a result of master rod bearing failures.",47.37565780000001,-121.8684444
"April 14, 1953",?,"Near Guwahati, India",Airways,?,Guwahati - Calcutta,Douglas C-47A,VT-AUJ,19149,3,3,0,The cargo plane broke apart in midair and crashed in the Khasi hills. The port wing failed in the air due to an upload as a result of being subjected to loads greater than those for which it was designed.,26.1445169,91.7362365
"April 14, 1958",20:07,"Off Castell de Fels, Spain",Aviaco,?,Zaragoza - Barcelona,de Havilland DH-114 Heron 2D,EC-ANJ,14113,16,16,0,Crashed into the ocean after a sudden avoidance manuver. ATC error. Another aircraft was permitted to takeoff without the exact position of the plane being known.
"April 14, 1960",?,"Taipei,Taiwan",Military - Royal Thai Air Force,?,?,Douglas DC-4,?,?,18,18,0,Struck a mountain,25.0329636,121.5654268
"April 14, 1963",12:18,"Oslo, Norway",Icelandair,?,Copenhagen - Oslo,Vickers Viscount 759D,TF-ISU,149,12,12,0,"Crashed on approach, 6 km west of the runway. Possible icing of the stabilizer.",59.9138688,10.7522454
"April 14, 1965",?,"Jersey, Channel Islands, UK",British United Airways,1030X,"Paris - Jersey , Channel Islands",Douglas C-47B,G-ANTB,15762/27207,27,26,0,"The aircraft crashed on its second approach in deteriorating weather condtions, crashing 3,000 feet short of the runway. The aircraft struck the approach lighting when it was flown below the safe approach path during an approach to land in conditions of very low clouds and poor visibility. The pilot disregarded the approach ban applied by his operations manual."
"April 14, 1976",?,"Neuquen, Argentina",Yacimientos Petroliferos Fiscales,?,?,Hawker Siddeley HS-748 2,LV-HHB,1540,34,34,0,Structural failure and in-flight separation of the right wing. Fatigue cracks attributed to stress due to design. These cracks became critical sooner than anticipated. The cracks remained undetected and became critical because the manufacturer's inspection program for the area was insufficiently.,-38.9516784,-68.0591888
"April 14, 1979",?,"Off Avalon, California",Catalina Airlines,?,"San Pedro, CA - Catalina, CA",Grumman G-21 Goose,N11CS,1166,11,1,0,"During an attempted go-around, the plane struck boat wakes and crashed. One passenger drowned.",33.3428193,-118.3282279
"April 14, 1980",20:05,"Krasnoyarsk, Russia",Aeroflot,151,Krasnoyarsk - Yeniseisk,Antonov An-24B,CCCP-47732,69900905,53,2,0,The plane crashed when attempting an emergency landing after the starboard main gear broke on take-off.,56.01528339999999,92.8932476
"April 14, 1994",09:25,Northern Iraq,Military - U.S. Army / Military U.S. Army,?,?,Sikorsky UH-60 / Sikorsky UH-60,8726000/8826060,?,26,26,0,Shot down by friendly fire during the Gulf War. Thirteen killed on each helicopter.,33.325103,44.3824593
"April 14, 1997",?,"Brazzaville, Democratic Republic Congo",TAAG Angola Airlines,?,Brazzaville - Luanda,Fokker F-27 Friendship 600,D2-TFP,10424,7,3,0,The cargo plane became airborne but soon lost altitude and crashed to the ground and burst into flames.,-4.2633597,15.2428853
"April 15, 1927",?,"King Hill, Idaho",Varney Air Lines,?,?,SwallowSwallow,?,?,1,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,43.0040661,-115.2039579
"April 15, 1936",?,"Near Turin, Italy",Avio Linee Italiane,?,Turin - Milan,OFM F-VIIb/3m,I-AAXZ,359,7,7,0,"Crashed on the slopes of Mount Basso, 20 miles from Turin.",45.070312,7.686856499999999
"April 15, 1948",02:35,"Shannon, Ireland",Pan American World Airways,1-10,Belgium - Shannon,Lockheed L-049-46 Constellation,NC-88858,2058,31,30,0,"While executing a second instrument approach at Shannon Airport, the aircraft struck the ground 2,380 feet from the approach end of the intended runway, broke apart and burned. Continuation of an instrument approach to an altitude insufficient to clear the terrain. The failure of a fluorescent light may have been a contributing cause. The plane was named ""Clipper Empress of the Skies.""",52.7124708,-8.873067599999999
"April 15, 1950",?,"Santa Ana, Colombia",Lineas Aéreas Nacionales,?,?,Douglas C-47 (DC-3),HK-309,?,25,25,0,?,9.322961,-74.570544
"April 15, 1957",07:53,"Merida, Mexico",Transportes Aéreos Mexicanos,?,Medrida - Mexico City,Consolidated B-24J,XA-KUN,?,3,3,1,The accident was due to a maneuvering error which consisted in making two turns onto the Mexico City heading without conforming the distance and procedure specifications and below the prescribed altitudes and speeds. This error was aggravated by a probable shifting of the load due to improper securing.,20.9673702,-89.5925857
"April 15, 1969",13:50,"Off Chongjin, North Korea",Military - U.S. Navy,?,?,Lockheed EC-121M,135749,4318,31,31,0,The aircraft was shot down over the Sea of Japan by two North Korean MiG jet fighters while making a reconnaissance flight.,41.79166,129.8063754
"April 15, 1971",07:00,"Near San Jose, Philippines",Military - Philippine Air Force,?,Manila - Nichols AFB,Douglas C-47A,293246,13136,40,39,0,"Crashed into a rice field moments after taking off from Basa Air Base near Floridablanca. Climbed to 200 ft. banked to the left, stalled and crashed to the ground. Failure of the right engine. A young boy was the only survivor.",15.8037018,120.9991032
"April 15, 1976",14:55,"Palm Desert, California",Chartair - Air Taxi,?,"San Diego, CA - Palm Desert, CA",Beech B60,N37D,?,6,6,0,Flew into a thunderstorm and broke apart. Exceeded designed stress limits of aircraft.  VFR flight into adverse weather.,33.7222445,-116.3744556
"April 15, 1985",23:30,"Near Phuket, Thailand",Thai Airways,?,?,Boeing B-737-200,HS-TBB,21810/604,11,11,0,The aircraft hit high ground during good weather conditions and after transmitting an emergency message that they had lost both engines.,7.9519331,98.33808839999999
"April 15, 1992",?,"Near Goroka, Papua New Guinea",Talair,?,?,Embraer 110P1 Bandeirante,P2-RDS,110- 355,15,11,0,"Crashed into mountains at Daulo Pass, 10km from its destination while on approach in poor weather.",-6.083477299999999,145.3862638
"April 15, 1997",?,"Gyandzha, Azerbaijan",Azerbaijan Airlines,?,Training,Yakovlev 40,4K-87504,9510640,6,6,0,"A stray bullet from training soldiers struck the landing plane, hitting an oxygen cylinder. A fire broke out and control of the plane was lost and it crashed.",40.6878581,46.3723313
"April 15, 1999",16:05,"Shanghi, China",Korean Air,6316,"Shanghi, China - Seoul, Korea",McDonnell Douglas MD-11,HL-7373,48409/490,3,3,0,"Shortly after taking off  and after getting into a disagreement with the first officer about the planes altitude, the captain pushed down on the control column and the plane entered a rapid descent. Both crew members tried to recover from the dive but were unable to gain control and the plane crashed into the ground and was destroyed.",31.230416,121.473701
"April 15, 2002",11:23,"Busan, South Korea",Air China,129,Beijing - Busan,Boeing B-767-200ER,B-2552,23308/127,166,128,0,"The aircraft crashed onto a mountain, in fog, wind and rain while attempting to land at Kimhae Airport. A strong southerly wind required the aircraft to make a turn and approach the runway from the north. The aircraft crashed near the peak of Mt. Mulbong, approximately 3 mile north of the runway. The plane bounced three times before hitting the ground and exploding. More than 1,000 trees were uprooted by the impact. The plane was off course when the crew turned on final. The flight crew performed the circling approach, not being aware of the weather minima of wide-body aircraft (B767-200) for landing, and in the approach briefing, did not include the missed approach, etc., among the items specified in Air China’s operations and training manuals. The flight crew exercised poor crew resource management and lost situational awareness during the circling approach to runway 18R, which led them to fly outside of the circling approach area, delaying the base turn, contrary to the captain’s intention to make a timely base turn. The flight crew did not execute a missed approach when they lost sight of the runway during the circling approach to runway 18R, which led them to strike high terrain (mountain) near the airport. When the first officer advised the captain to ascend again for landing, about 5 seconds before impact, the captain did not react, nor did the first officer initiate the missed approach himself.",35.1795543,129.0756416
"April 15, 2008",14:30,"Goma, Congo",Hewa Bora Airways,?,Goma - Kisangani - Kinshasa,McDonnell Douglas DC-9-51,9Q-CHN,47731,85,0,47,"While attempting to takeoff, the plane failed to reach takeoff speed, overran the runway, proceeded through a perimeter fence and cashed into a crowded market.",-4.3056348,15.28191
"April 16, 1953",?,"NW of Hanoi, Vietnam",Aigle Azur,?,Hanoi - Na San,Douglas DC-3,F-BESS,19498,30,30,0,Crashed after takeoff due to wing failure.,21.0277644,105.8341598
"April 16, 1969",?,"Kinshasa, Zaire",Wigmo,?,Kinshasa - Luluaburg,Curtiss C-46,?,?,45,45,0,The plane developed landing gear trouble while attempting to land at Luluaburg. The pilot chose to return to Kinshasa. He was circling to use up fuel when the accident occurred. The plane crashed into the Congo River. Leased to the Congolese Air Force.,-4.4419311,15.2662931
"April 16, 1972",22:10,"Near Ardinello di Amaseno, Italy",Aero Transporti Italiani,?,Rome - Foggia,Fokker F-27 Friendship 200,I-ATIP,10251,18,18,0,Crashed into high ground while en route in thunderstorm activity. Loss of control due to downdrafts and updrafts in thunderstorm activity.,41.4695578,13.3330459
"April 16, 1983",?,"Near Khartoum, Sudan",Air Liberia,?,?,Hawker Siddeley HS-748-329 Srs. 2A,EL-AIH,1755,9,8,9,The No.2 engine failed during climbout forcing a return to the airport. While on the  base leg the aircraft lost altitude and crashed. High Pressure fuel pump shaft broke due to pump seizure. The remaining engine could not produce enough power because the fuel datum trimmer wasn't reset in accordance with the flight manual.,15.5006544,32.5598994
"April 16, 1985",11:37,"Las Cruces, New Mexico",American Airlines,?,"Dallas, TX - San Diego, CA",Boeing B-727-227,N718AA,20611/894,89,0,0,While cruising at FL 350 a loud noise was heard followed by a severe jolt. The No. 3 engine separated from the aircraft. A damaged O ring allowed leakage from the forward lavatory waste drain valve. Four gallons of fluid leaked and froze on the exterior of the plane and then broke away in chunks and smashed into the engine. They plane landed safely.,32.3199396,-106.7636538
"April 16, 1988",?,"St. Just, France",Chaillotine Air Service,?,?,Mitsubishi MU-2L Marquise,F-GERA,701SA,6,6,0,?,43.6584973,4.1156556
"April 16, 1992",?,"Nairobi, Kenya",Military - Kenyan Air Force,?,?,de Havilland DHC-5 Buffalo,218,125,46,46,6,The left engine failed while taking off from Eastleigh Air Base. The pilot attempted to return but poor visibility caused him to overshoot the runway. He tried to realign himself but stalled and crashed to the ground.,-1.2920659,36.8219462
"April 16, 1997",?,"Near Sorei, Niger",Military - Niger Air Force,?,?,Lockheed C-130H Hercules,5U-MBD,4829,14,14,0,Crashed after an engine fire.
"April 16, 2008",14:23,"Off Annobon Island, Equatorial Guinea",Military - Government of Equatorial Guinea,?,Bata - Annobon Island,Antonov An-32B,3C-5GE,1609,13,13,0,Crashed into the ocean after skidding off the runway in high winds and heavy rain.,-1.4333333,5.633333299999999
"April 17, 1928",?,"Federal, Wyoming",Boeing Air Transport,?,?,Boeing 40,NC282NC282,893,2,1,0,Spatial disorientation after entering a snowstorm.,38.9176041,-77.04766959999999
"April 17, 1936",?,Switzerland,Deutsche Lufthansa,?,?,Junkers JU-52,D-ASOR,?,5,3,0,?,46.818188,8.227511999999999
"April 17, 1944",?,"Belgrad, Yugoslavia",Deutsche Lufthansa,?,?,Junkers JU-52/3m,D-AOCA,640996,7,5,0,Shot down by allied fighters.,44.7891785,20.4418578
"April 17, 1957",08:30,"Near El Quweira, Jordan",Military -Royal Air Force,?,"Aqaba AFB - Habbaniya, Iraq",Vickers Valetta C-Mk.1,VW832,?,24,24,0,Crashed and burned 5 minutes after taking off from Aqaba. The aircraft lost it's left wing after encountering clear air turbulence.,29.7977778,35.3175
"April 17, 1959",?,"Puerto Kino, Mexico",Tigres Voladores,?,Mexicale - Guaymas,Curtiss C-46F-1-CU,XA-MIS,22586,26,26,0,Exlpoded and caught fire near Bahia de Kino.  A bomb is believed to have exploded onboard.,19.3692759,-99.2336948
"April 17, 1964",15:14,"Elim, Alaska",Wein Alaska Airlines Inc.,?,?,Cessna 185,N9984X,?,2,2,0,Flew into whiteout conditions and crashed.  ATC did not advise of unsafe weather conditions.,64.61749999999999,-162.2605556
"April 17, 1964",19:32,"Dhahran, Saudi Arabia",Middle East Airlines,444,?,Sud Aviation Caravelle 3,OD-AEM,023/21,49,49,0,"Crashed into the sea, 4 nm off shore while on approach to Dhahran Airport.",26.2361248,50.0393017
"April 17, 1965",19:45,"Johnstown, Pennsylvania",Baker Aero Inc. - Taxi,?,?,Piper PA-24,N7397P,?,2,2,0,Struck trees after an uncontrolled descent. VFR flight into adverse weather conditins.,40.32674069999999,-78.9219698
"April 17, 1966",?,"Sam Neua, Laos",Continental Air Services,?,?,Douglas C-47A,N8744R,20156,2,2,0,The cargo plane crashed while on a Vietnam war mission.,20.4170831,104.04787
"April 17, 1967",17:40,"Near Mamuniyeh, Iran",Military - Imperial Iranian Air Force,?,Shiraz - TerhanI,Lockheed C-130B,5-107,4118,23,23,0,Crashed after flying through thunderstorm activity and being struck by lightning.,35.3042606,50.5006231
"April 17, 1972",17:18,"New York, New York",Helaire Helicopter,?,Sightseeing,Bell 47J-2,N8467E,?,3,3,0,Float equipped sightseeing helicopter encountered turbulence which led to the blades flapping and a steep nose down crash into the river.,40.7127837,-74.0059413
"April 17, 1981",16:01,"Loveland, Colorado",Air US / Private,716 / -,"Denver, CO - Gillette, WY",Hadley Page 137Jetstream I / Cessna 206,N11360 / N4862F,238,19,15,0,"A midair collision occurred 2 nm east-southeast of Loveland, Colorado at 13,000 ft.. Two killed and 3 injured on the Cessna and 13 killed on the Jetstream. The failure of the Cessna pilot to establish communications with the Denver Center and his climbing into controlled airspace above 12,500 ft without an authorized transponder. Contributing factor was the fact that existing regulations did not prohibit parachute jumping in or immediately adjacent to federal airways.",40.3977612,-105.0749801
"April 17, 1992",00:56,"Hamburg, Pennsylvania",Air Taxi - Basco Flying Service Inc.,?,"Philadelphia, PA - Reading, PA",Piper PA-23-250,N62774,?,4,4,0,"The aircraft collided with rising terrain at 1,100 ft. after executing a go-around. Failure of the pilot to follow proper IFR procedures.",40.5556484,-75.98187720000001
"April 17, 1995",18:30,"Near Alexander City, Alabama",Military - U.S. Air Force,?,"Camp Springs, MD - San Antonio, TX",Learjet C-21A,84-0136,35-583,8,8,0,Experienced an emergency aboard while en route and crashed.,32.944012,-85.9538532
"April 17, 2009",10:30,"Mount Gergaji, Indonesia",Mimika Air,514,Ilaga - Mulia,Pilatus PC-6,PK-LTJ,959,11,11,0,The passenger plane crashed in poor weather into Mount Gergaji moments before landing at Mulia.,-1.0655556,119.5777778
"April 17, 2009",15:32,"Canaima National Park, Venezuela",Aerotuy Airline,?,Canaima - Porlamar,Cessna 208B Grand Caravan,YV-1181,208B-0695,11,1,0,"The plane, carrying 9 tourists, crashed 5 miles from the airport while taking off after an engine failed. The plane could not gain altitude and collided with a power line.  A six-year-old boy was killed.",5.5,-62
"April 18, 1930",c:17:00,"Jersey City, New Jersey",Canadian Colonial Airways,?,"Albany, NY - Jersey City, NJ",Fairchild 71,NC9148,634,4,4,0,Crashed into power lines 150 feet above the ground in fog.,40.72815749999999,-74.0776417
"April 18, 1948",09:20,Territory of New Guinea,New Guinea Air Traders,?,?,Lockheed Hudson IIIA,VH-ALA,?,37,37,0,"The aircraft climbed to 500 ft. when its left engine failed, whereupon the plane plunged nose first into the ground on an island on the Markham River. Poor technique by the pilot during an emergency situation."
"April 18, 1952",03:34,"Near Whittier, California",North Continental Airlines (Robin Airlines),416W,"Kansas City, MO - Phoenix - Burbank",Curtiss C-46F-1CU,N8404C,22466,29,29,0,"The plane was on a flight from New York City to Burbank, California. Due to poor visibility and fog, the flight was diverted to Los Angeles Airport for an ILS approach. While on approach, the plane crashed into the Puente Hills and burned. The pilot voluntarily descended below the minimum altitude for which he was cleared and attempted an approach at too low an altitude to clear the terrain. The pilot in command was flying with a restricted medical certificate. An emergency suspension was placed on the airline and it was discovered the airline had allegations of more than 40 violations listed against it including charges of overweight planes, excessive flying time for crews and failure to use approved seats and safety belts.",33.9791793,-118.032844
"April 18, 1955",?,"Kupe Mountains, Cameroons",Union des Transportes Aeriens,?,Yaounde - Douala,de Havilland DH-114 Heron 1B,F-BGOI,14010,14,12,0,Hit Mt. Kilmanjaro while en route. Wreckage found after 10 months.
"April 18, 1956",?,"Parintins, Brazil",Panair do Brasil,?,Belem - Parintins,Consolidated PBY-5A Catalina,PP-PDB,22021,12,3,0,The plane struck an object in the water while landing and broke up.,-2.6377762,-56.7295262
"April 18, 1960",?,"Stephenville, Newfoundland",Military - U.S. Air Force,?,"Dover, Delaware - Mildenhall, England",Douglas C-124C Globemaster,52-1062,43971,9,9,0,Failed to gain altitude on take off and struck a hill.,48.5479718,-58.5815353
"April 18, 1961",1810,"Mount Parker, Hong Kong",Military - US Air Force,?,"Hong Kong Kai Tak Airport - Tainan AFB, Formosa (Taiwan)",C-47(DC-3),43-49014,26275/14830,15,14,0,The aircraft impacted Mount Parker shortly after taking off in foggy weather conditions.,22.2666667,114.2166667
"April 18, 1967",?,"Zarand, Iran",Military - Imperial Iranian Air Force,?,Saveh - Tehran,Lockheed C-130E Hercules,5-107,4118,23,23,0,Crashed after being struck by lightning.,30.81655169999999,56.5728597
"April 18, 1972",09:39,"Addis Ababa, Ethiopia",East African Airways,720,Addis Ababa - Rome,BAC Super VC-10 1154,5X-UVA,881,107,43,0,The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.,8.9806034,38.7577605
"April 18, 1973",?,"Bamiyan, Afghanistan",Bakhtar Afghan Airlines,?,Bamiyan - Kabul,de Havilland Canada DHC-6 Twin Otter 100,YA-GAT,111,19,4,0,The chartered American/Canadian tour group's plane crashed on takeoff.,34.9073296,67.1894488
"April 18, 1979",18:23,"Newark, New Jersey",New York Airways,?,"Newark, NJ - Flushing, NY",Sikorsky S61-L,N618PA,61426,18,3,0,Tail rotor separated in flight shortly after takeoff. The helicopter autorotated and crashed. Fatigue fracture in tail rotor.,40.735657,-74.1723667
"April 18, 1984",?,"Imperatriz, Brazil",VOTEC / VOTEC,?,?,Embraer 110EJ Band./Embraer 110P Band.,PT-GJZ/PT-GKL,110088 / 110170,35,19,0,"Midair collision.  Same aircraft type, same airline. One of 17 killed aboard PT-GKL and all 18 aboard PT-GJZ were killed. PT-GJZ crashed out of control but PT-GKL was able to make a forced landing without its No.1 engine on a river after which it sank.",-5.5205508,-47.4718408
"April 18, 1990",?,"Off Contadora, Panama",Aeroperlas,?,?,de Havilland Canada DHC-6 Twin Otter 200,N187AS,131,22,20,0,"Shortly after taking off, the plane crashed into the ocean three miles south of the Panamanian island of Contadora after experiencing problems with the No. 2 engine leading to loss of altitude and control of the aircraft. The engine failure was caused by bird ingestion.",8.6274201,-79.0376672
"April 18, 2002",09:30,"Near Sweers Island, QLD, Australia",Air taxi,?,Mornington Island - Normanton,Cessna U206A,VH-XGR,U2060610,6,6,0,Crashed while en route. The pilot's limited experience in instrument flight conditions may have been insufficient to prevent a loss of aircraft control when he inadvertently entered an area of low visibility in the Sweers Island area.,-17.1022195,139.6171448
"April 19, 1928",?,"Minuesa, Spain",Iberia Airlines,?,Barcelona - Madrid,Rohrbach Roland,M-CCCC,36,9,9,0,Crashed into a field after getting lost in fog.
"April 19, 1945",05:35,"Near Perth, Australia",Military - U.S. Navy,-,?,Douglas DC-3,39067,?,13,13,0,The transport crashed into a hillside as it took off in heavy fog at Guildford Airport.,-31.9505269,115.8604572
"April 19, 1960",20:48,"Bogota, Colombia",Lloyd Aereo Colombiano,503,Miami - Medellin - Bogota,Curtiss C-46,HK-390,32954,51,37,0,Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.,4.710988599999999,-74.072092
"April 19, 1962",?,Near Hong Kong,Military - U.S. Air Force,?,Hong Kong - Formosa,Douglas C-47,?,?,16,15,0,Crashed into a fog-shrouded mountain minutes after taking off from Hong Kong airport.,22.396428,114.109497
"April 19, 1968",10:45,"Near Cheo Reo, South Vietnam",Military - U.S. Army / Military - U.S. Army,?,?,Bell UH-1H / Bell UH-1H (helicopter),6616441/6717255,?,26,26,0,"A mid-air collision occurred between the two helicopters at about 1,000 ft. altitude.",13.3743393,108.3989809
"April 19, 1968",?,"Mull of Kintyre, England",Military - Royal Air Force,?,?,Avro Shackleton MR-2,WB833,?,11,11,0,Crashed during anti-submarine exercises.,52.3555177,-1.1743197
"April 19, 1969",13:00,"Craig, Alaska",Simpson Air Service - Air Taxi,?,?,de Havilland DHC-2,N167W,?,9,9,0,"Crashed into water after making a steep, nose high turn. Pilot in command failed to maintain flying speed.",55.4763889,-133.1483333
"April 19, 1973",17:04,"Davenport, Iowa",Air Iowa,?,?,Beech E18S,N310WA,?,6,6,0,A preexisting crack in the lower wing spar cause the wing to separate in flight. Inadequate inspection and maintenance of aircraft.,41.5236437,-90.5776367
"April 19, 1977",?,"Tapa AFB, Estonia",Military - Soviet Air Force,?,Parnu - Tapa,Antonov An-24,?,?,21,21,0,Crashed into a building while attempting to land in snow and poor visibility.
"April 19, 1983",07:20,"Near Toba, Japan",Japan Air Self-Defence Force,?,?,Kawasaki C-1 / Kawasaki C-1,58-1009/68-1015,?,14,14,0,"Both aircraft, flying in tandem, crashed into the side of a mountain. A third aircraft brushed trees and managed to remain airborne.",34.481435,136.8433615
"April 19, 1983",18:09,"Leninakan, Russia",Aeroflot,E-46,Nalchik - Leninakan,Yakovlev YAK-40,CCCP-87291,9320628,21,21,0,The crew deviated from course while descending to land. Navigational error. ATC procedural error in not identifying the planes position.,47.3074269,39.6434982
"April 19, 1985",00:00,"Tuba City, Arizona",Air Taxi - Monument Valley Air Service,?,"Tuba City, AZ - Page, AZ",Cessna U206G,N8849Q,U20603558,6,6,0,Medical transportation flight during the early morning hours in marginal weather conditions. The flight was not completed and was returning to the departure airport when it descended into desert terrain 10 miles short of its destination. Flight into known adverse weather.,36.1349928,-111.2398625
"April 19, 1988",05:03,"Bagdarin, USSR",Aeroflot,?,Muya - Bagdarin,Let 410UVP Turolet,CCCP67518,851422,17,17,0,Crashed into a mountain during descent  in poor weather.
"April 19, 1989",?,"Near Cucuta, Colombia",SATENA,?,Cucuta - Arauca,Pilatus PC-6 Turbo Porter,FAC-1110,819,11,11,0,Crashed while en route.,7.8890971,-72.4966896
"April 19, 1991",11:56,"Off Nuka Hiva, French Polynesia",Air Tahiti,?,Hiva Ou - Nuku Hiva,Dornier Do-228-212,F-OHAB,8196,22,11,0,Crashed into the sea after taking off from Hiva Ou and experiencing engine failure. The crew didn't recognize the failure and concentrated on the low oil pressure warning. The approach was abandoned at the very last moment it was decided to carry out an unprepared ditching. The crew's performance may have been impacted by alcohol consumption.
"April 19, 1993",15:52,"Zwingle, Iowa",Private,-,"Cincinnati, OH - Pierre, SD",Mitsubishi MU-2B-60,N86SD,765SA,8,8,0,"While cruising at FL240, a fracture of the propeller hub resulted in the separation of a propeller blade and damage to the engine, nacelle, wing and fuselage causing significant degradation to aircraft performance. The aircraft was incapable of maintaining altitude and crashed into a silo while attempting to make an emergency landing. South Dakota Governor George Mickelson, 52, killed.",42.2977891,-90.6876307
"April 19, 1997",07:39,"Tanjung Pandan, Indonesia",Merpati Nusantara Airlines,106,Jakarta - Tanjung Pandan,British Aerospace ATP,PK-MTX,2048,53,15,0,"During the final stage of a visual approach, one of the aircraft's engines failed. The crew failed to correctly identify the problem and because of the flight regime, the propeller did not autofeather. The approach was continued, however, as the aircraft descended through about 2,000ft., power was applied at the start of a go-around. Control was lost and the aircraft crashed.",-2.7363153,107.659741
"April 19, 2000",07:02,"Samal Island, Philippines",Air Philippines,541,Manila - Davao,Boeing B-737-2H4,RP-C3010,21447/508,131,131,0,"The aircraft circled Davao airport in an attempt to land but crashed onto a coconut plantation on the mountainous Samal Island. The plane aborted a previous landing attempt because another plane was on the runway. Weather and visibility were good in the area but the landing attempt may have been hampered by low-lying clouds. The last message from the crew was that they were 7 miles from the airport on final approach. Nothing more was heard from the plane. The aircraft disintegrated upon impact near Mt. Kalangan. The elevation of the accident site was about 500 feet above sea level but the plane should have been at a altitude of 1,500 feet.",7.103312,125.7188463
"April 19, 2000",?,"Bukavu, Democratic Republic Congo",Kivu Air Services,?,?,Cessna 208B Caravan I,ZS-ONT,208B-0220,2,2,0,The charter flight crashed in the Kahuzi-Biega National Park.,-2.5123017,28.8480284
"April 19, 2000",?,"Pepa ,Congo",Military - Centrafricain Airlines,?,"Pepa, Congo - Kigali, Rwanda",Antonov AN-8,TL-ACM,9340706,24,24,0,"The military flight crashed after losing its engines after striking birds,unable to return to land."
"April 19, 2002",09:15,"Popayán, Colombia",SELVA Colombia,?,Medellín - Popayán,Antonov AN-32A,HK-4171X,2508,8,3,0,"The plane was being used by the Penitentiary and Prison National Institute, Inpec, to fly prisoners from Medellín to Popayán. The aircraft had just finished flying 50 prisoners to Popayán when it took off from Popayán to pick up more prisoners. The aircraft nosed into the ground shortly after becoming airborne.",2.4448143,-76.6147395
